# occ AE NC1 NC2 US1 US2 PAW1 PAW2 PAW3 PAW4
2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800000 0.373017 0.000044 0.000113 0.000041 0.000109 0.000034 0.000034 0.000034 -0.000191 
1.600000 0.790218 0.000111 0.000416 0.000107 0.000411 0.000094 0.000096 0.000100 -0.000506 
1.400000 1.253307 0.000220 0.000971 0.000217 0.000969 0.000198 0.000204 0.000214 -0.000955 
1.200000 1.763827 0.000390 0.001850 0.000395 0.001858 0.000369 0.000383 0.000403 -0.001533 
1.000000 2.323199 0.000643 0.003126 0.000665 0.003158 0.000630 0.000655 0.000687 -0.002221 
0.800000 2.932746 0.000998 0.004880 0.001055 0.004956 0.001010 0.001050 0.001096 -0.002977 
0.600000 3.593704 0.001480 0.007200 0.001596 0.007348 0.001543 0.001601 0.001663 -0.003746 
0.400000 4.307237 0.002117 0.010182 0.002329 0.010447 0.002265 0.002344 0.002424 -0.004459 
0.200000 5.074441 0.002940 0.013936 0.003299 0.014376 0.003224 0.003325 0.003427 -0.005018 
0.000000 5.896353 0.003982 0.018578 0.004558 0.019275 0.004473 0.004593 0.004725 -0.005292 
