# occ AE NC1 NC2 US1 US2 PAW1 PAW2 PAW3
2.000000 -0.664260 0.000020 0.000030 0.000030 0.000030 0.000050 0.000050 0.000050 
1.800000 -0.874130 -0.000130 -0.000360 -0.000130 -0.000380 -0.000110 -0.000110 -0.000120 
1.600000 -1.093950 -0.000330 -0.000920 -0.000360 -0.000970 -0.000330 -0.000340 -0.000360 
1.400000 -1.322830 -0.000600 -0.001670 -0.000670 -0.001770 -0.000640 -0.000640 -0.000690 
1.200000 -1.560090 -0.000920 -0.002620 -0.001060 -0.002800 -0.001030 -0.001030 -0.001110 
1.000000 -1.805190 -0.001300 -0.003770 -0.001550 -0.004070 -0.001510 -0.001520 -0.001630 
0.800000 -2.057680 -0.001750 -0.005160 -0.002160 -0.005620 -0.002120 -0.002120 -0.002280 
0.600000 -2.317180 -0.002260 -0.006790 -0.002900 -0.007490 -0.002850 -0.002850 -0.003080 
0.400000 -2.583330 -0.002880 -0.008720 -0.003810 -0.009730 -0.003760 -0.003750 -0.004080 
0.200000 -2.855840 -0.003570 -0.010960 -0.004910 -0.012380 -0.004860 -0.004830 -0.005290 
0.000000 -3.134420 -0.004380 -0.013540 -0.006240 -0.015490 -0.006190 -0.006130 -0.006770 
