# occ AE NC1 NC2 US1 US2 PAW1 PAW2 PAW3 PAW4
2.000000 -1.757700 -0.000170 -0.000150 -0.000160 -0.000160 -0.000130 -0.000130 -0.000130 -0.000120 
1.800000 -1.974020 -0.000250 -0.000950 -0.000240 -0.000960 -0.000210 -0.000220 -0.000230 0.000130 
1.600000 -2.199350 -0.000400 -0.002040 -0.000410 -0.002080 -0.000370 -0.000400 -0.000410 0.000480 
1.400000 -2.432760 -0.000650 -0.003470 -0.000680 -0.003540 -0.000640 -0.000680 -0.000710 0.000970 
1.200000 -2.673570 -0.000990 -0.005240 -0.001060 -0.005360 -0.001020 -0.001070 -0.001110 0.001630 
1.000000 -2.921210 -0.001440 -0.007410 -0.001580 -0.007620 -0.001530 -0.001610 -0.001650 0.002400 
0.800000 -3.175240 -0.002000 -0.010000 -0.002240 -0.010330 -0.002200 -0.002290 -0.002330 0.003140 
0.600000 -3.435260 -0.002690 -0.013050 -0.003090 -0.013570 -0.003040 -0.003150 -0.003190 0.003580 
0.400000 -3.700930 -0.003530 -0.016610 -0.004140 -0.017390 -0.004090 -0.004210 -0.004260 0.003470 
0.200000 -3.971920 -0.004530 -0.020740 -0.005450 -0.021870 -0.005390 -0.005510 -0.005580 0.002560 
0.000000 -4.247950 -0.005700 -0.025490 -0.007040 -0.027090 -0.006990 -0.007080 -0.007200 0.000780 
